,Tweet Text,model-predicted polarity,Actual Polarity
0,@evening_star I hope they are not being bitchy to you. ,0,0
1,@chairmanhao back to reality tomorrow  have you done any work for skewl? (not ccny),0,0
2,"just got home, worked this morning, hopefully seein jimmy again after work later  smoked way too much.",0,4
3,@Poidoghomeslice well i know what i need 2 do and better do it quick cuz i think my metabolism slowed down a bit  cant regress n2 da past!,0,0
4,"@Sophie_xo uhmmm, may be will be in another occasion ",4,0
5,Weirded out that I suddenly can't burn anything to CD/DVDs. Optic drive busted? ,0,0
6,@bubblet0ess ya  it was so damn good...  Whatever.,0,0
7,"@CaptainFlashman Lol! Alright then, I'll let you off the hook! You wore your new watch yet? ",4,4
8,"@Jocassels poor things have forgotton who i am, i haven't ridden in ages but now i have days off i'm lookinf forward to a ride in the sun ",0,4
9,i lost my father! ,0,0
10,I'm feeling very sad for we will miss Blair-A very much. ,0,0
11,"I hate that he's on the road, and in a bad mood, and that I can't be there for him. ",0,0
12,@audaciousgloop LOA works for me- only cos I work to make it work. LOA is about goal setting and opening doors... and hard work ,0,4
13,"@justinbaeder YES!  I've seen him up there, on the Segway, after visiting Red Robin a few times ",4,4
14,boyfriend thinks im too freaking skinny ,0,0
15,man i have a headache ,0,0
16,@mrmiggidude haha  don't spoil the fight ok I'll remove your device updates!,0,0
17,"just had lunch at Franfurt LH Base, will now get ready for my flights to Florence, all very full  don't want to",4,0
18,@LillyFilan yeh i will just listen to no si aqui no hay amor   haha anyway now i am just on facebook and stuff. how about you?,4,4
19,@heatherxcobain brazilians suck ,0,4
